_id,state_id,state_abbr,year,population,violent_crime,homicide,rape_legacy,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
ObjectId("5ea70f340e750000200361cc"),7,CO,1983,3139000,14955,202,1316,3968,9469,193070,48101,133271,11698
ObjectId("5ea70f340e750000200361cd"),7,CO,1984,3178000,14548,184,1238,3623,9503,191104,49619,128859,12626
ObjectId("5ea70f340e750000200361ce"),7,CO,1985,3231000,15219,189,1321,4012,9697,208336,56480,137868,13988
ObjectId("5ea70f340e750000200361cf"),7,CO,1986,3267000,17105,230,1382,4731,10762,212626,58531,138219,15876
ObjectId("5ea70f340e750000200361d0"),7,CO,1987,3296000,15409,191,1344,3916,9958,197225,50580,132266,14379
ObjectId("5ea70f340e750000200361d1"),7,CO,1988,3290000,15548,187,1269,3250,10842,187719,45503,128331,13885
ObjectId("5ea70f340e750000200361d2"),7,CO,1989,3317000,15636,146,1202,2984,11304,184692,41475,128195,15022
ObjectId("5ea70f340e750000200361d3"),7,CO,1990,3294394,17328,138,1521,2985,12684,182106,39822,128172,14112
ObjectId("5ea70f340e750000200361d4"),7,CO,1991,3377000,18887,199,1588,3628,13472,186235,39117,132717,14401
ObjectId("5ea70f340e750000200361d5"),7,CO,1992,3470000,20086,216,1641,4180,14049,186684,37853,131169,17662
ObjectId("5ea70f340e750000200361d6"),7,CO,1993,3566000,20229,206,1633,4160,14230,176856,36011,124787,16058
ObjectId("5ea70f340e750000200361d7"),7,CO,1994,3656000,18632,199,1579,3910,12944,175808,33843,127600,14365
ObjectId("5ea70f340e750000200361d8"),7,CO,2017,5615902,20901,222,,3868,12790,152032,22618,107470,21944
ObjectId("5ea70f340e750000200361d9"),7,CO,1996,3823000,15463,180,1765,3755,9763,180218,34436,130576,15206
ObjectId("5ea70f340e750000200361da"),7,CO,2004,4601821,17121,201,1945,3739,11236,180322,33010,123308,24004
ObjectId("5ea70f340e750000200361db"),7,CO,1997,3893000,14139,157,1677,3242,9063,166902,30994,119801,16107
ObjectId("5ea70f340e750000200361dc"),7,CO,2012,5189458,15951,152,2122,3392,10285,139355,26163,101091,12101
ObjectId("5ea70f340e750000200361dd"),7,CO,2018,5695564,22624,210,,3797,14547,152163,21371,109119,21673
ObjectId("5ea70f340e750000200361de"),7,CO,2003,4547633,15757,185,1913,3738,9921,179706,32394,124496,22816
